year,state_fips,state_abbr,state_name,county_fips,county_name,n1,n2,a00100,a00200,a00300,a00600
1989,05,AR,Arkansas,145,White,20169.0,46427.0,406740.0,323570.0,28002.0,4270.0
1989,05,AR,Arkansas,147,Woodruff,3474.0,7923.0,54890.0,41140.0,5102.0,811.0
1989,05,AR,Arkansas,149,Yell,7057.0,15844.0,131710.0,98530.0,9196.0,734.0
1989,08,CO,Colorado,000,COLORADO,1427886.0,2968735.0,40417880.0,31112370.0,2843625.0,884677.0
1989,08,CO,Colorado,001,Adams,110017.0,237919.0,2749380.0,2381850.0,102167.0,21940.0
1989,08,CO,Colorado,003,Alamosa,4574.0,10630.0,94690.0,71600.0,6210.0,1460.0
1989,08,CO,Colorado,005,Arapahoe,178215.0,375283.0,6336730.0,5004530.0,379594.0,133971.0
1989,08,CO,Colorado,007,Archuleta,1986.0,4483.0,38580.0,23100.0,4634.0,1340.0
1989,08,CO,Colorado,009,Baca,1774.0,4034.0,30320.0,15120.0,5312.0,527.0
1989,08,CO,Colorado,011,Bent,1751.0,3984.0,33350.0,23150.0,3628.0,419.0
1989,08,CO,Colorado,013,Boulder,103931.0,203865.0,3281260.0,2521460.0,221267.0,86755.0
1989,08,CO,Colorado,015,Chaffee,5000.0,10869.0,102120.0,65220.0,11730.0,2429.0
1989,08,CO,Colorado,017,Cheyenne,951.0,2236.0,21730.0,11490.0,3098.0,354.0
1989,08,CO,Colorado,019,Clear Creek,2405.0,4965.0,61420.0,50940.0,3381.0,1161.0
1989,08,CO,Colorado,021,Conejos,2439.0,6431.0,34470.0,27350.0,2233.0,337.0
1989,08,CO,Colorado,023,Costilla,1053.0,2512.0,17610.0,11480.0,1035.0,257.0
1989,08,CO,Colorado,025,Crowley,1019.0,2345.0,17860.0,11490.0,2427.0,374.0
1989,08,CO,Colorado,027,Custer,742.0,1645.0,15370.0,9060.0,1857.0,826.0
1989,08,CO,Colorado,029,Delta,7834.0,17635.0,147950.0,91610.0,20186.0,3898.0
1989,08,CO,Colorado,031,Denver,221684.0,407159.0,6094790.0,4366040.0,607459.0,201808.0
1989,08,CO,Colorado,033,Dolores,609.0,1445.0,12300.0,7810.0,1241.0,109.0
1989,08,CO,Colorado,035,Douglas,21912.0,52034.0,976470.0,792590.0,47392.0,18284.0
1989,08,CO,Colorado,037,Eagle,10408.0,19309.0,308650.0,212070.0,19211.0,8157.0
1989,08,CO,Colorado,039,Elbert,3446.0,8359.0,102670.0,85090.0,5616.0,980.0
1989,08,CO,Colorado,041,El Paso,170919.0,366996.0,4519100.0,3532590.0,283884.0,90772.0
